Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-sigmoid_scale_07;0.1302;0.2946;0.1803;0.9712;0.3353;0.2933;0.3103;0.7897;0.0211;0.2578;0.0390;0.9086;0.0473;0.2725;0.0806;0.8827;0.1335;0.2796;0.1525;0.8880
OCSVM_kernel-sigmoid_scale_08;0.1542;0.1973;0.1724;0.9799;0.3595;0.1995;0.2538;0.8115;0.0209;0.1825;0.0374;0.9333;0.0497;0.1784;0.0776;0.9212;0.1461;0.1894;0.1353;0.9115
OCSVM_kernel-sigmoid_scale_09;0.1958;0.0973;0.1293;0.9860;0.4285;0.1004;0.1592;0.8312;0.0192;0.0831;0.0311;0.9633;0.0479;0.0810;0.0601;0.9522;0.1728;0.0904;0.0949;0.9332
OCSVM_kernel-sigmoid_auto_01;0.0245;0.8622;0.0477;0.6195;0.1819;0.8867;0.3018;0.3164;0.0197;0.8298;0.0385;0.6992;0.0267;0.8833;0.0519;0.3779;0.0632;0.8655;0.1100;0.5032
OCSVM_kernel-sigmoid_auto_02;0.0444;0.7892;0.0840;0.8106;0.1957;0.7824;0.3129;0.4306;0.0211;0.7505;0.0410;0.7455;0.0318;0.7764;0.0610;0.5401;0.0732;0.7746;0.1248;0.6317
OCSVM_kernel-sigmoid_auto_03;0.0591;0.6784;0.1087;0.8775;0.2149;0.6870;0.3272;0.5335;0.0229;0.6515;0.0443;0.7967;0.0354;0.6776;0.0672;0.6386;0.0831;0.6736;0.1368;0.7116
OCSVM_kernel-sigmoid_auto_04;0.0715;0.5811;0.1273;0.9126;0.2351;0.5907;0.3359;0.6157;0.0232;0.5563;0.0446;0.8280;0.0384;0.5675;0.0720;0.7200;0.0921;0.5739;0.1449;0.7691
OCSVM_kernel-sigmoid_auto_05;0.0867;0.4838;0.1469;0.9387;0.2683;0.4928;0.3466;0.6956;0.0245;0.4766;0.0465;0.8593;0.0425;0.4737;0.0780;0.7868;0.1055;0.4817;0.1545;0.8201
OCSVM_kernel-sigmoid_auto_06;0.1154;0.4000;0.1786;0.9602;0.2969;0.3924;0.3366;0.7479;0.0249;0.3731;0.0466;0.8896;0.0451;0.3715;0.0803;0.8388;0.1205;0.3842;0.1606;0.8591
OCSVM_kernel-sigmoid_auto_07;0.1288;0.2892;0.1779;0.9712;0.3358;0.2937;0.3107;0.7898;0.0215;0.2618;0.0398;0.9090;0.0473;0.2725;0.0805;0.8827;0.1333;0.2793;0.1522;0.8882
OCSVM_kernel-sigmoid_auto_08;0.1574;0.2000;0.1754;0.9801;0.3596;0.1979;0.2525;0.8117;0.0210;0.1825;0.0376;0.9336;0.0494;0.1785;0.0772;0.9208;0.1469;0.1897;0.1357;0.9115
OCSVM_kernel-sigmoid_auto_09;0.2015;0.0973;0.1308;0.9861;0.4252;0.0991;0.1575;0.8309;0.0193;0.0831;0.0313;0.9636;0.0476;0.0810;0.0598;0.9519;0.1734;0.0901;0.0949;0.9331
